rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 b4 c6 2 Bb2 a5 3 b5 cxb5 4 e4,Polish Opening-Outflank Variation-Schuehler Gambit
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 b4 c6 2 Bb2 Qb6 3 a3 a5 4 c4,Polish Opening-Katalymov Gambit
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 b4 c6 2 Bb2 Qb6 3 a3 a5 4 c4 d6,Polish Opening-Katalymov Gambit-Katalymov-Jepisjin Variation
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 b4 d5 2 Bb2 Bf5,Polish Opening-Baltic Defence
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 b4 d5 2 Bb2 c6 3 a4,Polish Opening-Myers Variation
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 b4 d5 2 Bb2 d4 3 Nf3 c5,Polish Opening-Labahn Gambit
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 b4 d5 2 Bb2 Qd6,Polish Opening-German Defence
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 b4 d5 2 Bb2 Qd6 3 a3 e5 4 e4 dxe4 5 f3,Polish Opening-German Defence-Orangutan-Diemer Gambit
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 b4 e5 2 a3,Polish Opening-Bugayev Attack
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 b4 e5 2 Bb2 Bd6,Polish Opening-Stabenow Variation
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 b4 e5 2 Bb2 Bxb4,Polish Opening-Kucharkowski-Meybohm Gambit
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 b4 e5 2 Bb2 c5,Polish Opening-Wolferts Gambit
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 b4 e5 2 Bb2 d6,Polish Opening-Czech Defence
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 b4 e5 2 Bb2 f6 3 b5,Polish Opening-Bugayev Advance Variation
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 b4 e5 2 Bb2 f6 3 e4,Polish Opening-Tartakower Gambit
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 b4 e5 2 Bb2 f6 3 e4 Bxb4,Polish Opening-Tartakower Gambit-Polish/Sokolsky Gambit
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 b4 e5 2 Bb2 f6 3 e4 Bxb4 4 Bc4 Nc6 5 f4 Qe7 6 f5 g6,Polish Opening-Tartakower Gambit-Polish Gambit-Brinckmann Variation
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 b4 e5 2 e4 Bxb4 3 f4 exf4,Polish Opening-Lewin Double Gambit
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 b4 e6 2 Bb2 f5 3 e4,Polish Opening-Schuffler Gambit
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 b4 f5,Polish Opening-Dutch Defence
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 b4 Nc6,Polish Opening-Grigorian/Aasum Variation
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 b4 Nf6 2 Bb2 d5 3 e3 e6 4 b5,Polish Opening-Schiffler-Sokolsky Variation
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 b4 Nf6 2 Bb2 e6 3 a3 c6 4 d3 a5 5 bxa5 d5 6 e4,Polish Opening-Orangutan-Hartlaub Gambit
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 b4 Nf6 2 Bb2 e6 3 b5 a6,Polish Opening-Queenside Defence
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 b4 Nf6 2 Bb2 e6 3 b5 a6 4 a4 axb5 5 axb5 Rxa1 6 Bxa1,Polish Opening-Queenside Defence-Rooks Swap Line
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 b4 Nf6 2 Bb2 e6 3 b5 b6,Polish Opening-Queen's Indian Variation
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 b4 Nf6 2 Bb2 g6,Polish Opening-King's Indian Variation
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 b4 Nf6 2 Bb2 g6 3 c4 Bg7 4 e3 d6 5 Nf3 0-0 6 d4,Polish Opening-King's Indian Variation-Sokolsky Attack
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 b4 Nf6 2 Bb2 g6 3 e4,Polish Opening-King's Indian Variation-Schiffler Attack
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 b4 Nf6 2 Bb2 g6 3 g4,Polish Opening-King's Indian Variation-Spike Variation
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 b4 Nf6 2 Nf3,Polish Opening-Zukertort System
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 b4 Nh6,Polish Opening-Tübingen/Karniewski Variation
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c3,Saragossa Opening
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c3 e5 2 a3 d5 3 b3 Nf6 4 Bb2 Nc6 5 a4 Bd6 6 g3 0-0 7 e3,Saragossa Opening-Cabbage Attack
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c3 e5 2 e4 Nc6 3 f4,Saragossa Opening-Bendig Gambit
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c3 Nf6 2 Qa4 e6 3 f3 Bc5 4 Qh4 Be7 5 Kd1 Nc6 6 Qe1 b6 7 e4 Bb7 8 d4 0-0 9 Bd3 a6,Saragossa Opening-Chicken Pizza Opening
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4,English Opening
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 b5,English Opening-Jaenisch/Halibut Gambit
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 b6 2 d4 e6,English Opening-English Defence
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 c5,English Opening-Symmetrical Variation
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 c5 2 b4,English Opening-Symmetrical Variation-Wing Gambit
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 c5 2 Nc3,English Opening-Symmetrical Variation-Normal/Asymmetrical Variation
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 c5 2 Nc3 Nc6,English Opening-Symmetrical Variation-Normal Variation-2 Knights Variation
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 c5 2 Nc3 Nc6 3 g3,English Opening-Normal Variation-2 Knights Variation-Fianchetto Variation
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 c5 2 Nc3 Nc6 3 g3 g6 4 Bg2 Bg7,English Opening-2 Knights Variation-Fianchetto Variation-Ultra-Symmetrical Variation
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 c5 2 Nc3 Nc6 3 g3 g6 4 Bg2 Bg7 5 e3 e5,English Opening-Fianchetto Variation-Ultra-Symmetrical Variation-Botvinnik System Reversed
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 c5 2 Nc3 Nc6 3 g3 g6 4 Bg2 Bg7 5 e4,English Opening-Fianchetto Variation-Ultra-Symmetrical Variation-Botvinnik System
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 c5 2 Nc3 Nc6 3 g3 g6 4 Bg2 Bg7 5 Nf3,English Opening-2 Knights Variation-Fianchetto Variation-Ultra-Symmetrical/2 Knights Line
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 c5 2 Nc3 Nc6 3 g3 g6 4 Bg2 Bg7 5 Nf3 e5,English Opening-Fianchetto Variation-Ultra-Symmetrical Line-Botvinnik System Reversed/Russian Variation
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 c5 2 Nc3 Nc6 3 g3 g6 4 Bg2 Bg7 5 Nf3 Nf6,English Opening-Fianchetto Variation-Ultra-Symmetrical Line-Full Symmetry Line
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 c5 2 Nc3 Nc6 3 g3 g6 4 Bg2 Bg7 5 Nf3 Nf6 6 0-0 0-0 7 b3,English Opening-Ultra-Symmetrical Line-Full Symmetry Line-Double Fianchetto Line
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1 c4 c5 2 Nc3 Nc6 3 g3 g6 4 Bg2 Bg7 5 Nf3 Nf6 6 0-0 0-0 7 d3,English Opening-Ultra-Symmetrical Line-Full Symmetry Line-Duchamp Line
